hour,cooling_kW
624,1.3125398708958111
625,1.1745531968816953
626,1.053783830895234
627,0.9481755735290186
628,0.8450000956389404
629,0.7500405409799644
630,1.0858017526776667
631,1.2305462684398452
632,1.7993188736211396
633,2.2920040649481743
634,2.293987622111084
635,2.2013011073767546
636,2.266015891721803
637,2.320111911113838
638,2.3237761688475445
639,2.2528430284454375
640,2.051557845188815
641,2.0282877087385263
642,2.3296622993100695
643,2.436616807022824
644,2.5008476986712345
645,2.537904946834875
646,2.4754734714650226
647,2.002950878757144
648,1.5170979746494893
649,1.3514955167052547
650,1.2078199563576568
651,1.0847902244792573
652,0.958720531826566
653,0.8441215609699758
654,1.1668985816149002
655,1.4336529783022762
656,1.9724639967894235
657,2.435195016032248
658,2.447291998901763
659,2.349826792637217
660,2.391705909414366
661,2.4054839522124007
662,2.3447809684499585
663,2.229106639878802
664,2.001224042365989
665,1.7259322207928545
666,1.9703080602841756
667,2.0289130573749525
668,2.0283460884026483
669,2.0182536924528582
670,2.0035580965504844
671,1.5206359844186144
672,1.0121419733002035
673,0.8624658978262486
674,0.7387355136061612
675,0.6271418992641176
676,0.5352792728534426
677,0.45602848706137294
678,0.7728720144941229
679,1.0012499152496719
680,1.5404119311502815
681,2.0144256642821365
682,2.010576996842764
683,1.9135999157681833
684,1.9157753306234162
685,1.909283504737661
686,1.8927899999562852
687,1.8339243213031176
688,1.6575509176310992
689,1.4194540171621066
690,1.6779018681431046
691,1.75865703955422
692,1.7946465014254107
693,1.8086515772359817
694,1.8193798840844273
695,1.3591075549082208
696,0.8435575957061803
697,0.7175943885954642
698,0.6088595084660879
699,0.5144701820562345
700,0.42796913813301396
701,0.3424984754889376
702,0.6644667685859271
703,0.7214509783094741
704,1.2404062248739927
705,1.7400437466916245
706,1.7602145451381348
707,1.6702343289054367
708,1.7161091078579713
709,1.7484403300814257
710,1.7199628610011768
711,1.6334799113628384
712,1.4541770883708904
713,1.44404573305786
714,1.721687724318589
715,1.8264753917816527
716,1.8867684836726442
717,1.9205005894287133
718,1.862891843895936
719,1.4135932805369722
720,0.9377419259667716
721,0.8230760823098648
722,0.7183437402936969
723,0.6267310534196525
724,0.5325538844579819
725,0.45079866885134723
726,0.7783909117353361
727,0.87192723864585
728,1.4093096119973305
729,1.8848856445717368
730,1.898358197847525
731,1.8340576629602194
732,1.8886865492794433
733,1.9266700259400895
734,1.9102099051598616
735,1.833771988470453
736,1.665893189827928
737,1.66017573684164
738,1.955622557162258
739,2.0784690768806757
740,2.1575497404218065
741,2.198391702059918
742,2.1517913575475407
743,1.7012087345363425
744,1.1671477997971562
745,1.0231792474143657
746,0.9157984162944091
747,0.7954626187694843
748,0.6798980260045964
749,0.5782677134254346
750,0.8896609547911043
751,0.8619047130759873
752,1.2822708390871567
753,1.803503920070328
754,1.8480649725052882
755,1.7905984480540185
756,1.6977386638932022
757,1.7058133146917942
758,1.7224310783019883
759,1.505713274569336
760,1.3070311044954086
761,1.2948293309339365
762,1.4653213710708195
763,1.5010726480704417
764,1.5213785277129628
765,1.480744787066443
766,1.4081978345533925
767,1.0005548007246696
768,0.5365718478795118
769,0.4336517102274404
770,0.3691547002495995
771,0.2792192507047988
772,0.18696401674471472
773,0.0919283027711849
774,0.37766082278995305
775,0.16571077671274023
776,0.30538544775030135
777,0.6410441507620259
778,0.7504278366082107
779,0.828763773741838
780,0.8140590138554904
781,0.7954161769565379
782,0.7709182663628534
783,0.7324324397778079
784,0.6830057607126345
785,0.8399962128894448
786,1.063472607587499
787,1.1738742798706197
788,1.2416177793683663
789,1.2443916486622948
790,1.2094061117919772
791,0.8453742787802062
792,0.39950586366103813
793,0.3080249996986051
794,0.2262341095475995
795,0.12004555496260844
796,0.0182318397596382
797,0.0
798,0.22452713559647236
799,0.2735712251563925
800,0.7586512491784575
801,1.2081562112318605
802,1.2535891008792348
803,1.2880714149588037
804,1.3520368283087956
805,1.3644427631474518
806,1.3276881400982523
807,1.2473273201882085
808,1.0746485628719358
809,1.0792117300066018
810,1.3081624767167275
811,1.3814331517417842
812,1.4214249391998925
813,1.4347174640700797
814,1.3714431315916424
